"Comment","Author","PublishedAt","LikeCount"
"Boycotting the Olympics! Drag degenerate show was disgusting!","@edgarsdzerins","2024-07-28T09:44:42Z","0"
"30:00-30:20 hmm...","@almantsakeldams3777","2024-07-28T09:44:11Z","0"
"THIS IS A DEMORALISATION PSYOP. BOTH DE-MORAL-ISE AND DE-MORALE-ISE.","@Bd-ng1zv","2024-07-28T09:43:58Z","0"
"Worst opening ever to be created, the world gone crazy","@yanomosh123","2024-07-28T09:43:18Z","0"
"the internationalist banker sect is strong with this one...","@Bd-ng1zv","2024-07-28T09:43:04Z","0"
"Embarrassed 😢😢😢😢","@natasaslatinovska9547","2024-07-28T09:42:07Z","0"
"Satanic games. My country should not be there.","@user-gl1tc7wi8g","2024-07-28T09:40:05Z","0"
"this  hapend when you let  be president  men who mery  women who can be his grandmother an  spend 10.000 euro on makup  this resul of  lgbt agenda  and  proemigration   free socila for non working  emigrants   france is gone  rip","@Atena26R","2024-07-28T09:40:05Z","0"
"people complaining about everything these days","@ih4599","2024-07-28T09:39:58Z","0"
"Jesus is the King of kings, nobody makes fun with God. You cowards, invaded by Islam, don't do the same with others. You will see.","@portofil","2024-07-28T09:37:28Z","1"
"Geriausias dalykas ceremonijoje yra Celine..Celine dainavimas kaip kulminacija buvo nuostabus, ašaros akyse ji atliko Edita Piaf dainą -Édith Piaf - L'hymne à l'amour tai ne olimpinės žaidynės, o LGBT propaganda kažkada tai buvo visai šeimai skirtas atidarymas, kurį mums patiko žiūrėti su mažais vaikais kaip šeima. tyčiojasi iš krikščionybės..Lietus ar šviesa, jokių nuobodžių akimirkų, pagarba organizatoriams…Svarbiausia per lietų dainavo , nešė deglą , o ponai sedejo po stogu ložese , taip neteisinga....nepagarba atlikejams  olimpinių žaidynių atidarymo ceremonijoje man patiko kažkas labiau nei bet kas kitas, tai buvo populiarioji dvasia, kuri buvo įkvėpta kaip geriausia Prancūzijos revoliucijos dvasia. Ne ceremonija, uždara privilegijuotiems ir turtingiems žmonėms, o visiems atvira ceremonija, kurią galima stebėti ir nuo namų stogų, nuo upės krantų. Paryžiaus turtai ir grožis buvo puiki vieta tokiai ceremonijai. Ne kiekvienas pasaulio miestas gali sau leisti tokią prabangą.","@yourife","2024-07-28T09:37:24Z","1"
"2:30:57 bu geceki kabusum hazır 😊","@hilalyardmcoglu356","2024-07-28T09:32:50Z","1"
"The most ludicrous and horrendous Olympic Opening I have ever witnessed in my life! What an embarrassment! At least Paris will be remembered as the worst opening ever,congratulations 😂😂","@user-vj5lg1os4y","2024-07-28T09:32:31Z","0"
